year,period_type,lucode,class_name,area_km2,area_percent,carbon_density_MgC_ha,carbon_stock_MtC
2005,observed,1,Cropland,0.0,0.0,100.95,0.0
2005,observed,2,Forest,8.64,0.007004855240288425,191.91,0.16581024
2005,observed,3,Shrub,0.27,0.0002189017262590133,124.44000000000001,0.00335988
2005,observed,4,Grassland,97343.28,78.92078530264624,100.95,982.6804116000001
2005,observed,5,Water,4687.11,3.800061000614384,0.0,0.0
2005,observed,6,Snow/Ice,963.63,0.7812602610184185,0.0,0.0
2005,observed,7,Barren,20340.09,16.49066967875442,28.78,58.53877902
2005,observed,8,Impervious,0.0,0.0,0.0,0.0
2005,observed,9,Wetland,0.0,0.0,127.74,0.0
2010,observed,1,Cropland,0.0,0.0,100.95,0.0
2010,observed,2,Forest,10.44,0.008464200082015181,191.91,0.20035404
2010,observed,3,Shrub,0.18,0.00014593448417267552,124.44000000000001,0.0022399200000000003
2010,observed,4,Grassland,96914.06999999999,78.57280452513649,100.95,978.3475366499999
2010,observed,5,Water,5048.19,4.092805575864771,0.0,0.0
2010,observed,6,Snow/Ice,1161.54,0.9417152263662751,0.0,0.0
2010,observed,7,Barren,20208.6,16.38406453806628,28.78,58.1603508
2010,observed,8,Impervious,0.0,0.0,0.0,0.0
2010,observed,9,Wetland,0.0,0.0,127.74,0.0
2015,observed,1,Cropland,0.0,0.0,100.95,0.0
2015,observed,2,Forest,10.709999999999999,0.008683101808274194,191.91,0.20553560999999998
2015,observed,3,Shrub,0.18,0.00014593448417267552,124.44000000000001,0.0022399200000000003
2015,observed,4,Grassland,97327.53,78.90801603528112,100.95,982.52141535
2015,observed,5,Water,5267.5199999999995,4.270626744829176,0.0,0.0
2015,observed,6,Snow/Ice,941.04,0.7629454832547476,0.0,0.0
2015,observed,7,Barren,19796.04,16.04958270034251,28.78,56.97300312
2015,observed,8,Impervious,0.0,0.0,0.0,0.0
2015,observed,9,Wetland,0.0,0.0,127.74,0.0
2020,observed,1,Cropland,0.0,0.0,100.95,0.0
2020,observed,2,Forest,10.889999999999999,0.008829036292446869,191.91,0.20898999
2020,observed,3,Shrub,0.09,7.296724208633776e-05,124.44000000000001,0.0011199600000000001
2020,observed,4,Grassland,94048.92,76.24989237331792,100.95,949.4238474
2020,observed,5,Water,5505.03,4.463187296695022,0.0,0.0
2020,observed,6,Snow/Ice,876.51,0.7106279706788434,0.0,0.0
2020,observed,7,Barren,22901.579999999998,18.56739035577368,28.78,65.91074724
2020,observed,8,Impervious,0.0,0.0,0.0,0.0
2020,observed,9,Wetland,0.0,0.0,127.74,0.0
2025,observed,1,Cropland,0.0,0.0,100.95,0.0
2025,observed,2,Forest,11.969999999999999,0.009704643197482921,191.91,0.22971627
2025,observed,3,Shrub,0.27,0.0002189017262590133,124.44000000000001,0.00335988
2025,observed,4,Grassland,94700.61,76.7782481732651,100.95,956.0026579500001
2025,observed,5,Water,5636.79,4.57001133910942,0.0,0.0
2025,observed,6,Snow/Ice,847.89,0.687424387695388,0.0,0.0
2025,observed,7,Barren,22145.489999999998,17.954392555006354,28.78,63.73472022
2025,observed,8,Impervious,0.0,0.0,0.0,0.0
2025,observed,9,Wetland,0.0,0.0,127.74,0.0
2030,BAU forecast,1,Cropland,0.0,0.0,100.95,0.0
2030,BAU forecast,2,Forest,11.79,0.009558708713310247,191.91,0.22626189
2030,BAU forecast,3,Shrub,0.18,0.00014593448417267552,124.44000000000001,0.0022399200000000003
2030,BAU forecast,4,Grassland,93828.51,76.07119559744848,100.95,947.19880845
2030,BAU forecast,5,Water,5916.69,4.796939461997931,0.0,0.0
2030,BAU forecast,6,Snow/Ice,768.06,0.6227024439648065,0.0,0.0
2030,BAU forecast,7,Barren,22817.79,18.4994578533913,28.78,65.66959962
2030,BAU forecast,8,Impervious,0.0,0.0,0.0,0.0
2030,BAU forecast,9,Wetland,0.0,0.0,127.74,0.0
2035,BAU forecast,1,Cropland,0.0,0.0,100.95,0.0
2035,BAU forecast,2,Forest,11.7,0.009485741471223908,191.91,0.22453469999999998
2035,BAU forecast,3,Shrub,0.09,7.296724208633776e-05,124.44000000000001,0.0011199600000000001
2035,BAU forecast,4,Grassland,93015.36,75.41193656519842,100.95,938.9900592
2035,BAU forecast,5,Water,6247.349999999999,5.065021109423135,0.0,0.0
2035,BAU forecast,6,Snow/Ice,694.17,0.5627963382119232,0.0,0.0
2035,BAU forecast,7,Barren,23374.35,18.95068727845321,28.78,67.27137929999999
2035,BAU forecast,8,Impervious,0.0,0.0,0.0,0.0
2035,BAU forecast,9,Wetland,0.0,0.0,127.74,0.0
