park,year,period_type,area_km2,carbon_stock_MtC
澜沧江园区,2005,observed,13821.93,136.45829858867455
澜沧江园区,2010,observed,13821.93,136.3263971961422
澜沧江园区,2015,observed,13821.93,136.5347375723591
澜沧江园区,2020,observed,13821.93,135.08287486271095
澜沧江园区,2025,observed,13821.93,137.068200810894
澜沧江园区,2030,BAU forecast,13821.93,135.98378400010873
澜沧江园区,2035,BAU forecast,13821.93,136.29467650571823
长江源园区,2005,observed,90493.83,728.1265083511734
长江源园区,2010,observed,90493.83,724.9839659738045
长江源园区,2015,observed,90493.83,727.3541706512146
长江源园区,2020,observed,90493.83,705.7344380809708
长江源园区,2025,observed,90493.83,707.9109156775703
长江源园区,2030,BAU forecast,90493.83,702.1706311485386
长江源园区,2035,BAU forecast,90493.83,695.5090690412693
黄河源园区,2005,observed,19027.26,176.80359977342604
黄河源园区,2010,observed,19027.26,175.40016401120567
黄河源园区,2015,observed,19027.26,175.81333170902823
黄河源园区,2020,observed,19027.26,174.72743629165078
黄河源园区,2025,observed,19027.26,174.99138272535896
黄河源园区,2030,BAU forecast,19027.26,174.94253927176095
黄河源园区,2035,BAU forecast,19027.26,174.68339181921388
