start_year,end_year,origin_code,origin_name,destination_code,destination_name,area_km2,carbon_change_MtC
2005,2010,2,Forest,2,Forest,8.28,0.0
2005,2010,2,Forest,4,Grassland,0.36,-0.00327456
2005,2010,3,Shrub,2,Forest,0.09,0.0006072299999999999
2005,2010,3,Shrub,3,Shrub,0.18,0.0
2005,2010,4,Grassland,2,Forest,2.07,0.01882872
2005,2010,4,Grassland,4,Grassland,95492.7,0.0
2005,2010,4,Grassland,5,Water,215.19,-2.1723430500000003
2005,2010,4,Grassland,6,Snow/Ice,9.36,-0.09448920000000001
2005,2010,4,Grassland,7,Barren,1623.96,-11.72011932
2005,2010,5,Water,4,Grassland,6.84,0.06904980000000001
2005,2010,5,Water,5,Water,4673.61,0.0
2005,2010,5,Water,6,Snow/Ice,0.44999999999999996,0.0
2005,2010,5,Water,7,Barren,6.21,0.01787238
2005,2010,6,Snow/Ice,4,Grassland,1.6199999999999999,0.0163539
2005,2010,6,Snow/Ice,5,Water,1.44,0.0
2005,2010,6,Snow/Ice,6,Snow/Ice,951.66,0.0
2005,2010,6,Snow/Ice,7,Barren,8.91,0.025642980000000003
2005,2010,7,Barren,4,Grassland,1412.55,10.194373350000001
2005,2010,7,Barren,5,Water,157.95,-0.45458010000000004
2005,2010,7,Barren,6,Snow/Ice,200.07,-0.57580146
2005,2010,7,Barren,7,Barren,18569.52,0.0
2010,2015,2,Forest,2,Forest,10.17,0.0
2010,2015,2,Forest,4,Grassland,0.27,-0.00245592
2010,2015,3,Shrub,3,Shrub,0.18,0.0
2010,2015,4,Grassland,2,Forest,0.54,0.00491184
2010,2015,4,Grassland,4,Grassland,95334.48,0.0
2010,2015,4,Grassland,5,Water,163.89,-1.65446955
2010,2015,4,Grassland,6,Snow/Ice,1.08,-0.0109026
2010,2015,4,Grassland,7,Barren,1414.08,-10.20541536
2010,2015,5,Water,4,Grassland,58.23,0.5878318499999999
2010,2015,5,Water,5,Water,4856.849999999999,0.0
2010,2015,5,Water,6,Snow/Ice,0.09,0.0
2010,2015,5,Water,7,Barren,133.01999999999998,0.38283156000000007
2010,2015,6,Snow/Ice,4,Grassland,16.74,0.1689903
2010,2015,6,Snow/Ice,5,Water,5.58,0.0
2010,2015,6,Snow/Ice,6,Snow/Ice,915.5699999999999,0.0
2010,2015,6,Snow/Ice,7,Barren,223.65,0.6436647000000001
2010,2015,7,Barren,4,Grassland,1917.81,13.840834769999999
2010,2015,7,Barren,5,Water,241.2,-0.6941736000000001
2010,2015,7,Barren,6,Snow/Ice,24.3,-0.06993540000000001
2010,2015,7,Barren,7,Barren,18025.29,0.0
2015,2020,2,Forest,2,Forest,10.44,0.0
2015,2020,2,Forest,4,Grassland,0.27,-0.00245592
2015,2020,3,Shrub,4,Grassland,0.18,-0.0004228200000000002
2015,2020,4,Grassland,2,Forest,0.44999999999999996,0.0040932
2015,2020,4,Grassland,3,Shrub,0.09,0.0002114100000000001
2015,2020,4,Grassland,4,Grassland,93245.58,0.0
2015,2020,4,Grassland,5,Water,199.17,-2.01062115
2015,2020,4,Grassland,6,Snow/Ice,1.26,-0.012719699999999999
2015,2020,4,Grassland,7,Barren,3880.98,-28.009032660000003
2015,2020,5,Water,4,Grassland,17.37,0.17535015
2015,2020,5,Water,5,Water,5145.66,0.0
2015,2020,5,Water,6,Snow/Ice,0.09,0.0
2015,2020,5,Water,7,Barren,104.39999999999999,0.3004632
2015,2020,6,Snow/Ice,4,Grassland,1.6199999999999999,0.0163539
2015,2020,6,Snow/Ice,5,Water,0.36,0.0
2015,2020,6,Snow/Ice,6,Snow/Ice,859.14,0.0
2015,2020,6,Snow/Ice,7,Barren,79.92,0.23000976
2015,2020,7,Barren,4,Grassland,783.9,5.657406300000001
