scenario,year,carbon_stock_tC,carbon_stock_MtC
baseline_terrestrial,2005,1034648259.382,1034.648259
baseline_terrestrial,2010,1028536112.608,1028.536113
baseline_terrestrial,2015,1032699436.838,1032.699437
baseline_terrestrial,2020,1009517265.375,1009.517265
baseline_terrestrial,2025,1013388161.987,1013.388162
include_lake_sediment,2005,1090591031.012,1090.591031
include_lake_sediment,2010,1089279486.484,1089.279486
include_lake_sediment,2015,1096041954.849,1096.041955
include_lake_sediment,2020,1075947369.971,1075.94737
include_lake_sediment,2025,1080742981.577,1080.742982
literal_combined_class,2005,1093560120.287,1093.56012
literal_combined_class,2010,1093035201.368,1093.035201
literal_combined_class,2015,1098895982.261,1098.895982
literal_combined_class,2020,1078517208.409,1078.517208
literal_combined_class,2025,1083216153.751,1083.216154
